Roppongi Studioの2023年4月の予約状況
日付 | 時間 | customer's nickname
1日 | 13:00-15:00 |  よーた
1日 | 15:00-17:00 |  
2日 | 15:00-17:00 |  Dさん
3日 | 8:00-14:00 |  
3日 | 15:00-17:00 | HAMA 
4日 | 9:00-11:00 |  ジロー
4日 | 13:00-15:00 | 
4日 | 16:00-17:00 | 
5日 | 13:00-15:00 | 
5日 | 15:00-17:00 | 
6日 | 13:00-1:00 |  
6日 | 15:00-17:00 | 
9日 | 15:00-17:00 |  
10日 | 0:00-24:00 |  
11日 | 0:00-24:00 |  
12日 | 0:00-24:00 |  
13日 | 0:00-24:00 |  
14日 | 0:00-24:00 |  
15日 | 0:00-24:00 |  
16日 | 0:00-24:00 |  
17日 | 0:00-24:00 |  
18日 | 0:00-24:00 |  
19日 | 0:00-24:00 |  
20日 | 0:00-24:00 |  
21日 | 0:00-24:00 |  
22日 | 0:00-24:00 |  
23日 | 0:00-24:00 |  
24日 | 0:00-24:00 |  
25日 | 0:00-24:00 |  
26日 | 0:00-24:00 |  
27日 | 0:00-24:00 |  
28日 | 0:00-24:00 |  
29日 | 0:00-24:00 |  
30日 | 0:00-24:00 |  
